T1,T2
24200875234.458035,24201078743.19688
29431211.741438854,29592160.94697587
0.0,15.94039250183147
0.0,5.049721913291994
0.0,6906.703793876454
306933.42253029783,342331.8539511098
5884785.516825082,6094256.282015116
2522275.023711517,2694057.8534247344
244504.98293178456,320623.38735549746
12055.555765968882,43787.67291069718
26012240.349524405,26169125.208749194
0.0,4309.911561538441
0.0,142187.67019793636
0.0,13596.856839633481
0.0,34.639454046298006
0.0,3383.678154288567
6080338855.967479,6080553918.28636
0.0,1698.3868363873366
0.0,2650.0187023240082
0.0,0.04742219773540572
0.0,1491.1007626215128
13869551.859649574,13974268.037426079
0.0,0.5537391704668421
3871017.9881407963,4116115.9575028345
0.0,156.28907184173835
0.0,497.46722874740277
0.0,76.0238164427687
1629681.9698773718,1839625.2284914965
0.0,105.80058752819
