Initial Position (R),Initial Angle (Phi),Birth Time (t_birth),First Visible (t1),Last Visible (t2),Period at present (P)
3220.29227066808,3.360659357029399,-4975.925638496552,-4975.925638496552,8620.931201136927,64599.47618067727
9022.621646693586,3.664906007052519,-3369.3806784515377,-3369.3806784515377,14.297475837029197,5882.44623020311
2539.7217031133837,6.07907170705838,-1622.069399025473,-1622.069399025473,1027.9493032985347,34250.99486328235
1927.2351660786321,3.9695960753228503,-2536.815454870303,-2536.815454870303,557.8756156368072,30550.7226782422
1838.3853539565407,2.2642758727562837,-5179.100660357235,-1911.3585518087407,2763.956820023993,107881.17195280363
1063.3361220989275,0.7347500885073912,-1630.468738801386,-1630.468738801386,11769.532580358387,74579.34144854009
6271.890420951257,0.7919278503672288,-6279.618042614837,-6279.618042614837,9559.055290070679,105192.7322718135
1057.780412365367,0.39039406324252574,-152.11133972388603,-152.11133972388603,6754.732665500663,48882.53617927969
10806.140476096025,3.396868183394205,-126.20935784090403,-126.20935784090403,603.8190755162348,23384.852656014846
7355.000505394951,0.20528184822606887,-7696.769864616383,-6908.5717815920625,7677.8453144490595,111423.31593384934
4663.853997456617,2.9638396257379775,-587.2184779533662,-587.2184779533662,11235.985440597191,82137.19280826965
6243.6288387796185,2.9299731410967813,-3715.7710090898054,-3715.7710090898054,7629.696738210783,63202.23491027003
7681.186849556462,2.391433606798999,-9545.742362397728,-9545.742362397728,1308.9957193009232,39137.08218953669
3549.6785873980743,0.060673714669973886,-191.66562875155725,-191.66562875155725,1564.9951566262641,34448.581050891815
8100.7282516215255,5.089601124691106,-1121.8780719773358,-1121.8780719773358,2969.721699501253,52537.65999474523
3749.8608430090876,5.499897735615638,-872.8586267075989,-872.8586267075989,26429.47527189512,168067.29364685886
6739.30896373729,1.9892035815098683,-940.86398560703,-940.86398560703,2894.556515870804,54519.729801417074
2319.9351819241083,4.601915005081173,-5849.441727077618,-5849.441727077618,5089.570916345449,88804.71561244992
2835.4659834211175,1.3336920278702147,-7726.77168807681,-2022.6893973544247,20930.68102525042,184543.13020691165
1691.0397625431403,5.030748783630582,-2600.343140148965,-2600.343140148965,2911.9205828097356,55321.64763244689
2326.3120182267,5.089019729328812,-3450.4149373917194,-2236.847595550844,7093.389794415683,151007.254694279
9207.744611199916,1.2960022213217608,-5204.561696064983,-1568.4678643310408,346.56929596700684,31116.20616437155
6001.019960433329,3.1924789500735336,-3601.503447918162,-3601.503447918162,970.1622911227282,32980.157489951795
2148.065757645376,1.6170771679399984,-8468.855661205489,-8468.855661205489,100313.57858897871,179236.205716857
2661.746225724632,3.4241971729929634,-398.93820536591187,-398.93820536591187,19938.1365792834,126338.5191884847
4637.432098182882,4.928334451379902,-3752.9722568258994,-3752.9722568258994,24365.40056245152,162452.01062041556
4728.641762806679,5.612970512132671,-871.3546986109855,-871.3546986109855,10061.307479323847,84634.78449479118
3484.0343023337828,3.570004637125734,-605.95524139196,-605.95524139196,1003.9085887922561,29676.87510757744
20202.799581725674,0.8107022574554764,-2923.808839906976,-2923.808839906976,6131.4562165054795,59150.64336403155
4729.987571213576,5.377962774472956,-547.1121975892535,-547.1121975892535,47.967904841100335,7715.476584919958
6396.132832939031,1.1986357631209055,-6931.373196875268,-6931.373196875268,1998.7600418278898,32416.766298552233
3721.2903733508556,3.837352814494767,-1695.4055463420016,-1695.4055463420016,262.2702043423824,17205.39716492857
14187.497366430489,0.5313382811916051,-1305.7622668990398,-1305.7622668990398,3265.9409102949794,46206.76311468459
11249.713193190153,0.6020547950595023,-5770.615992660796,-5770.615992660796,33048.60867377449,129040.5826275641
12912.155407155562,5.386292429237403,-7813.352570343053,-7813.352570343053,7988.75527492495,61634.85592988093
4839.766934906114,2.965886109982778,-5096.075507096889,-2111.7634356465624,6153.926390700982,145920.02349410066
5898.78070750141,3.6410825674593497,-217.89751408825552,-217.89751408825552,74.32937081179185,11464.742592187265
5665.976339576585,0.9412230369164895,-7122.333080026048,-7122.333080026048,38041.35247370768,151840.8509445478
9130.467046084552,2.050665427073574,-1910.731957161509,-1910.731957161509,8851.947010884876,102483.39820971657
1443.568385052724,3.569281603784711,-5892.488940014555,-5892.488940014555,15096.482811030804,88356.32751581071
5190.853179928122,4.981697637621835,-2627.035940083362,-2627.035940083362,3797.695668708261,48195.536992348054
9170.766575771859,0.9573589897875773,-278.28415617570437,-278.28415617570437,615.1319977730836,23829.134760669753
2017.7269684269388,3.0677757253682842,-822.2246007377398,-822.2246007377398,2367.164053132797,58610.240384775156
16426.747008581893,1.0874775588788377,-863.8163466357652,-863.8163466357652,303.53404438573887,18133.575649399394
6577.147724469976,0.6190905455877873,-3750.790706266288,-270.735697485281,16032.457155138934,196491.2756086118
14708.052745125735,3.146477911267241,-6572.557010069907,-6572.557010069907,27720.02235740318,100929.97571015188
969.5777830899669,1.3314604238731795,-2217.4816510328255,-2217.4816510328255,1325.711124206458,34110.84792144583
4797.154283261401,5.719510742694807,-4046.2063899666114,-4046.2063899666114,41970.74996099877,116450.89653579
8696.91232580165,1.1929170338522743,-5385.810521409959,-3607.5601932950694,132.95147924768935,14835.438370378877
2403.0532947141605,0.2808029245923444,-4351.347854822164,-4351.347854822164,1401.7285630982597,43639.26355394269
2426.835425027142,1.9967070991071831,-346.55415479126873,-346.55415479126873,4845.908511796923,61499.608721078526
952.6389070908076,1.3169505233196017,-1502.9474309965562,-62.701204633179714,1235.6782524329105,185334.2703537259
7485.281510678757,0.5944456949989723,-9801.673843524231,-9801.673843524231,15348.687521205897,92011.69544844466
