Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
2.8360000000000003,0.1714,2.704,1.4389,44.4986,58.5252,53.0718
11.22,0.4502,2.3183,1.5199,46.4938,-80.7611,-35.5331
5.563,0.3863,1.7901,1.385,6.6315,-22.7155,111.763
6.8229999999999995,0.6034,2.5307,1.439,-46.0101,-29.9498,0.8386
4.623,0.1224,2.5673,1.6204,87.8728,-68.8544,90.1701
5.184,0.0914,2.3666,1.4466,-9.9091,87.1143,62.4866
10.49,0.326,2.2893,1.5356,-101.0792,66.7067,23.0134
12.11,0.3737,2.8988,2.0186,-129.9386,-72.1979,13.5573
14.28,0.8148,2.537,1.4393,-129.7785,50.6081,-368.0389
5.93,0.3246,2.3872,1.4444,3.6712,-54.4395,-58.2063
3.44,0.2865,2.6394,1.4388,-70.3054,-41.4948,19.8743
11.37,0.649,2.5617,1.568,-32.37,30.0716,39.3842
6.523,0.4306,2.9999,1.7522,13.4538,-116.4127,134.3309
6.587000000000001,0.1928,2.2439,1.4457,-9.5043,49.0356,-36.9269
8.521,0.4921,2.1446,1.4472,31.4715,-104.5269,-36.0897
7.26,0.5013,2.5776,1.5445,-73.5832,-17.8237,5.4024
7.989,0.7811,2.0465,1.3721,-290.2539,107.5601,217.9065
15.76,0.7824,2.7393,1.6469,0.836,56.8549,-36.7356
5.667000000000001,0.3138,2.6579,1.6966,122.8717,112.7049,21.6739
6.795,0.215,2.4455,1.4531,-33.3845,28.5817,69.1015
5.224,0.4268,1.6595,1.3349,-3.4727,109.202,44.2007
10.76,0.5341,2.3131,1.5602,57.2676,-70.7591,51.7828
11.45,0.378,2.14,1.4597,-62.0369,-52.1288,116.9854
4.796,0.249,1.6243,1.3126,42.128,3.4568,1.8027
6.482,0.3876,2.6147,1.6775,17.7802,-7.3624,-157.9629
10.32,0.4995,2.8186,1.8332,-71.9405,64.4609,-117.4039
8.259,0.6382,2.6903,1.4841,22.8226,1.5263,-110.7248
18.92,0.8962,2.0509,1.7399,136.9082,-7.4917,-15.1418
5.325,0.3496,2.6386,1.374,-7.2518,-2.3881,27.3531
6.651,0.3659,2.43,1.4294,28.9311,19.3569,-17.3183
5.194,0.2601,2.3729,1.5189,-102.8226,60.1408,-146.5916
6.436,0.6284,1.6924,1.3444,81.8717,105.6227,-53.3012
8.702,0.425,2.5271,1.5689,-43.4854,87.5389,80.3169
3.003,0.0409,1.7742,1.3603,-11.9793,29.4696,107.227
8.033999999999999,0.3753,2.3669,1.4454,6.4588,-41.0024,35.724
6.132000000000001,0.5141,1.6398,1.3192,23.3843,-34.7614,-110.7521
7.431,0.3173,2.1359,1.4469,49.3732,-115.7952,-10.2593
6.669,0.4139,2.483,1.4425,15.0029,92.19,-11.6235
6.74,0.4535,2.3979,1.442,-12.486,11.8184,-39.2443
9.129,0.5708,2.6596,1.4983,-243.7176,-134.616,100.2547
10.23,0.6001,2.987,1.4438,-7.5743,-24.1112,-42.4296
11.25,0.5447,2.3829,1.4454,-64.4991,2.8761,18.1548
5.046,0.5756,2.7498,1.4805,-36.6422,-18.4381,77.8868
11.38,0.8104,2.7836,1.3572,-27.1164,-6.1801,-7.047
9.968,0.6649,2.8758,1.6619,-11.7899,-65.2806,-24.175
7.492000000000001,0.4503,1.7256,1.3417,59.7994,-22.0074,-51.0995
8.151,0.3193,2.3706,1.6132,178.9208,16.3704,33.74
7.7379999999999995,0.5617,1.7658,1.3781,-75.6389,-61.1388,44.7247
