Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
5.194,0.2601,2.3729,1.5189,-102.8226,60.1408,-146.5916
6.436,0.6284,1.6924,1.3444,81.8717,105.6227,-53.3012
8.702,0.425,2.5271,1.5689,-43.4854,87.5389,80.3169
14.92,0.8946,2.0592,1.5179,-11.4499,106.5079,-44.3769
8.033999999999999,0.3753,2.3669,1.4454,6.4588,-41.0024,35.724
6.132000000000001,0.5141,1.6398,1.3192,23.3843,-34.7614,-110.7521
4.255,0.2434,1.7417,1.3623,-101.9383,-43.9017,-4.2767
7.431,0.3173,2.1359,1.4469,49.3732,-115.7952,-10.2593
6.669,0.4139,2.483,1.4425,15.0029,92.19,-11.6235
2.6239999999999997,0.2061,2.3515,1.3323,-25.1402,-0.9168,-55.6452
6.74,0.4535,2.3979,1.442,-12.486,11.8184,-39.2443
9.129,0.5708,2.6596,1.4983,-243.7176,-134.616,100.2547
10.23,0.6001,2.987,1.4438,-7.5743,-24.1112,-42.4296
11.25,0.5447,2.3829,1.4454,-64.4991,2.8761,18.1548
6.507000000000001,0.4587,2.6143,1.3813,-31.5179,6.7002,3.7418
9.968,0.6649,2.8758,1.6619,-11.7899,-65.2806,-24.175
7.492000000000001,0.4503,1.7256,1.3417,59.7994,-22.0074,-51.0995
8.151,0.3193,2.3706,1.6132,178.9208,16.3704,33.74
7.7379999999999995,0.5617,1.7658,1.3781,-75.6389,-61.1388,44.7247
11.24,0.5797,2.599,1.5059,-4.5037,21.5619,-51.7986
22.22,0.9538,2.4623,1.3945,75.8649,-83.7839,194.9323
4.313,0.2463,2.5375,1.4417,-61.8488,3.9619,5.083
18.75,0.8946,1.6649,1.4569,-54.8196,-95.1415,21.3898
11.92,0.6509,2.5243,1.4409,52.6587,-56.2146,5.3745
3.998,0.4043,1.6006,1.4642,-60.1077,-77.9223,-42.9695
3.904,0.1678,2.86,1.8231,-18.477,101.8406,186.667
5.252000000000001,0.5716,2.6544,1.484,35.9278,-351.2591,167.6478
11.47,0.4919,2.315,1.4335,6.6834,24.5031,21.7755
10.62,0.7262,2.5813,1.7048,-112.3062,-53.2443,-119.5623
5.2010000000000005,0.1273,2.4468,1.4447,-13.0624,37.2348,52.9024
4.056,0.4217,2.0678,1.3807,-13.5748,-4.864,31.731
13.27,0.8317,2.0074,1.3783,48.6633,20.2275,31.6616
12.67,0.7029,1.9073,1.4191,46.0698,-21.7905,88.2791
14.16,0.817,2.3661,1.3224,-11.8886,-12.4054,45.0125
10.08,0.5481,2.6167,1.4468,-104.4887,38.6553,-4.4943
15.53,0.8091,2.4264,1.8295,28.9566,72.4055,-125.7213
9.955,0.7727,2.0011,1.3787,34.2888,-1.1881,38.4988
8.87,0.3923,2.5434,1.6291,-117.3896,-96.2174,-2.8022
4.855,0.4971,1.7356,1.3646,-7.4557,9.9584,-10.3131
8.177999999999999,0.411,1.5949,1.3209,-58.8139,-64.1051,9.9828
8.419,0.5414,2.5453,1.5485,26.9585,37.0519,59.909
7.062,0.6327,2.8575,1.5796,79.7826,-72.4758,68.0213
6.5760000000000005,0.6578,2.8087,1.5095,36.4685,-46.2895,23.3878
7.622999999999999,0.3683,2.4589,1.5033,-44.7927,-48.9246,13.4099
1.936,0.1381,1.9843,1.3703,-51.3786,-40.8711,30.3943
14.37,0.8773,1.9079,1.425,-2.4764,68.6676,91.6979
12.56,0.6635,2.679,1.6842,10.5293,133.1367,48.7618
5.975,0.1571,2.5728,1.5889,87.8308,-70.3098,81.511
9.627,0.7153,2.3765,1.4271,331.397,30.2575,-104.9397
3.139,0.3196,1.9849,1.3705,-14.0851,-38.8995,3.3426
15.37,0.8187,2.596,1.4394,8.3247,50.5432,-30.4352
6.853,0.2284,2.6282,1.7556,-94.4175,-138.6255,28.3718
6.65,0.6986,2.8187,1.3113,-21.3355,54.8892,32.3545
3.812,0.3455,2.732,1.4594,-97.1141,-240.4341,53.0759
7.001,0.291,2.7678,1.3545,-84.9642,-34.267,74.1597
3.195,0.3545,1.9934,1.3745,77.6146,70.8098,7.1043
6.711,0.4969,2.5626,1.4418,10.5826,7.7577,-62.6577
12.03,0.6689,2.8344,1.5891,-215.9498,91.7196,-95.4177
4.993,0.6576,2.5265,1.4403,-13.938,-129.463,178.9202
11.58,0.3028,2.5895,1.6862,-73.0022,-101.2411,-11.1452
7.6610000000000005,0.4434,2.6275,1.6781,-61.7732,50.4977,-116.9455
